,index,budget,original_language,popularity,runtime,collection_name,has_collection,num_genres,all_genres,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Crime,genre_Adventure,genre_Horror,genre_Science Fiction,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music,num_companies,production_company_Warner Bros.,production_company_Universal Pictures,production_company_Paramount Pictures,production_company_Twentieth Century Fox Film Corporation,production_company_Columbia Pictures,production_company_Metro-Goldwyn-Mayer (MGM),production_company_New Line Cinema,production_company_Touchstone Pictures,production_company_Walt Disney Pictures,production_company_Columbia Pictures Corporation,production_company_TriStar Pictures,production_company_Relativity Media,production_company_Canal+,production_company_United Artists,production_company_Miramax Films,production_company_Village Roadshow Pictures,production_company_Regency Enterprises,production_company_BBC Films,production_company_Dune Entertainment,production_company_Working Title Films,production_company_Fox Searchlight Pictures,production_company_StudioCanal,production_company_Lionsgate,production_company_DreamWorks SKG,production_company_Fox 2000 Pictures,production_company_Summit Entertainment,production_company_Hollywood Pictures,production_company_Orion Pictures,production_company_Amblin Entertainment,production_company_Dimension Films,num_countries,production_country_United States of America,production_country_United Kingdom,production_country_France,production_country_Germany,production_country_Canada,production_country_India,production_country_Italy,production_country_Japan,production_country_Australia,production_country_Russia,production_country_Spain,production_country_China,production_country_Hong Kong,production_country_Ireland,production_country_Belgium,production_country_South Korea,production_country_Mexico,production_country_Sweden,production_country_New Zealand,production_country_Netherlands,production_country_Czech Republic,production_country_Denmark,production_country_Brazil,production_country_Luxembourg,production_country_South Africa,num_languages,language_English,language_Français,language_Español,language_Deutsch,language_Pусский,language_Italiano,language_日本語,language_普通话,language_हिन्दी,language_Português,language_العربية,language_한국어/조선말,language_广州话 / 廣州話,language_தமிழ்,language_Polski,language_Magyar,language_Latin,language_svenska,language_ภาษาไทย,language_Český,language_עִבְרִית,language_ελληνικά,language_Türkçe,language_Dansk,language_Nederlands,language_فارسی,language_Tiếng Việt,language_اردو,language_Română,num_Keywords,keyword_woman director,keyword_independent film,keyword_duringcreditsstinger,keyword_murder,keyword_based on novel,keyword_violence,keyword_sport,keyword_biography,keyword_aftercreditsstinger,keyword_dystopia,keyword_revenge,keyword_friendship,keyword_sex,keyword_suspense,keyword_sequel,keyword_love,keyword_police,keyword_teenager,keyword_nudity,keyword_female nudity,keyword_drug,keyword_prison,keyword_musical,keyword_high school,keyword_los angeles,keyword_new york,keyword_family,keyword_father son relationship,keyword_kidnapping,keyword_investigation,num_cast,cast_name_Samuel L. Jackson,cast_name_Robert De Niro,cast_name_Morgan Freeman,cast_name_J.K. Simmons,cast_name_Bruce Willis,cast_name_Liam Neeson,cast_name_Susan Sarandon,cast_name_Bruce McGill,cast_name_John Turturro,cast_name_Forest Whitaker,cast_name_Willem Dafoe,cast_name_Bill Murray,cast_name_Owen Wilson,cast_name_Nicolas Cage,cast_name_Sylvester Stallone,genders_0_cast,genders_1_cast,genders_2_cast,cast_character_Himself,cast_character_Herself,cast_character_Dancer,cast_character_Additional Voices (voice),cast_character_Doctor,cast_character_Reporter,cast_character_Waitress,cast_character_Nurse,cast_character_Bartender,cast_character_Jack,cast_character_Debutante,cast_character_Security Guard,cast_character_Paul,cast_character_Frank,num_crew,crew_name_Avy Kaufman,crew_name_Robert Rodriguez,crew_name_Deborah Aquila,crew_name_James Newton Howard,crew_name_Mary Vernieu,crew_name_Steven Spielberg,crew_name_Luc Besson,crew_name_Jerry Goldsmith,crew_name_Francine Maisler,crew_name_Tricia Wood,crew_name_James Horner,crew_name_Kerry Barden,crew_name_Bob Weinstein,crew_name_Harvey Weinstein,crew_name_Janet Hirshenson,genders_0_crew,genders_1_crew,genders_2_crew,jobs_Producer,jobs_Executive Producer,jobs_Director,jobs_Screenplay,jobs_Editor,jobs_Casting,jobs_Director of Photography,jobs_Original Music Composer,jobs_Art Direction,jobs_Production Design,jobs_Costume Design,jobs_Writer,jobs_Set Decoration,jobs_Makeup Artist,jobs_Sound Re-Recording Mixer,departments_Production,departments_Sound,departments_Art,departments_Crew,departments_Writing,departments_Costume & Make-Up,departments_Camera,departments_Directing,departments_Editing,departments_Visual Effects,departments_Lighting,departments_Actors,log_budget,has_homepage,release_date_year,release_date_weekday,release_date_month,release_date_weekofyear,release_date_day,release_date_quarter,len_title,words_title,len_tagline,words_tagline,len_overview,words_overview,len_original_title,words_original_title,title_oof,tagline_oof,overview_oof,original_title_oof,budget_to_popularity,budget_to_runtime,_budget_year_ratio,_releaseYear_popularity_ratio,_releaseYear_popularity_ratio2,runtime_to_mean_year,popularity_to_mean_year,budget_to_mean_year,budget_to_year,budget_to_mean_year_to_year,popularity_to_mean_year_to_log_budget,year_to_log_budget,budget_to_runtime_to_year,genders_1_cast_to_log_budget,all_genres_to_popularity_to_mean_year,genders_2_crew_to_budget_to_mean_year,overview_oof_to_genders_2_crew,popularity2,rating,totalVotes,imdb_id,title
0,0,14000000,10,6.575392999999999,93.0,282,1,1,480,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,1,3,1,0,1,1,1,1,1,1,1,1,1,4,2,9,10,12,4,2,13,8,4,2,4,4,0,16.454567959008102,0,2015,4,2,8,20,1,22,38,52,86,155,243,22,38,16.099271494742265,16.41749084592805,16.18574977512008,16.112935989395304,2129150.30325944,150537.63440860214,3.448084773627077,306.4455615048409,0.003263222332506203,0.830820770519263,0.6429152567423309,0.4726013650776593,6947.890818858561,0.00023454162038593515,0.0390721444855904,122.45839605268289,74.70850342858667,0.4861871803580462,746.5991745664477,27.507326386718752,1.2450576750092368,10.4,5.0,482.0,tt2637294,Hot Tub Time Machine 2
1,1,40000000,10,8.248895,113.0,641,1,4,516,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,4,1,0,0,1,0,1,1,1,0,0,0,17.50439003707821,0,2004,4,8,32,6,3,40,59,60,100,393,601,40,59,16.542766201826904,15.66125931832048,16.095318151241006,17.01950135314405,4849134.338599292,353982.30088495574,9.960119680798085,242.94163036382452,0.004116215069860279,1.0750802384227418,0.9840409320544694,1.237932580998451,19960.079840319362,0.0006177308288415424,0.056216807896193516,114.48556594974633,176.63787469309167,0.5712852592302711,524.3684314256127,3.2311937349397586,4.0238295378102515,15.229000000000001,6.4,1528.0,tt0368933,The Princess Diaries 2: Royal Engagement
2,2,3300000,10,64.29999000000001,105.0,1,0,1,658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,7,13,0,0,0,0,0,0,0,0,1,0,0,0,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4,11,4,4,1,1,1,2,1,1,1,1,1,0,1,1,2,18,9,5,9,1,5,4,3,6,3,1,0,15.009433329466965,1,2014,4,10,41,10,4,8,12,47,78,130,194,8,12,15.906796102537603,16.20484147509436,15.770414522809018,15.806374221426175,51321.936441980775,31428.571428571428,0.8135701529216044,31.32193333156039,0.03192650943396227,0.9960666358167515,6.073148207717773,0.14113684192055784,1638.5302879841113,7.007787582947261e-05,0.40462208495205404,134.18228095567443,15.60505036175344,0.4663733697565645,108.3457833556263,77.93854425474255,1.4336740475280925,26.081999999999997,8.4,7314.0,tt2582802,Whiplash
3,3,1200000,16,3.174936,122.0,1,0,2,742,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,13.997832948091215,1,2012,4,3,10,9,1,7,11,0,4,581,900,7,11,15.980061708820188,15.335128819343156,15.646830952431534,15.878640570326315,377960.3746343233,9836.065573770491,0.2964321427301005,633.7135614702154,0.0015780000000000002,1.1515517631956504,0.38772365009173865,0.04329479214772953,596.4214711729622,2.151828635573038e-05,0.027698833921618544,143.73653460940625,4.888700583384936,0.07143962952753789,1913.7341759380338,0.0,0.0,5.531000000000001,7.5,115.0,tt1821480,Kahaani
4,4,0,24,1.1480700000000001,118.0,1,0,2,295,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0,2009,3,2,6,5,1,10,17,0,4,168,265,4,8,14.951659888118488,15.32465290415605,15.597919153333399,15.819619577639722,0.0,0.0,0.0,1749.8932991890736,0.0005714634146341464,1.1070006195238515,0.14563138183020838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.6623008902056,0.0,0.0,,,,tt1380152,Marine Boy
5,5,8000000,10,0.743274,83.0,1,0,3,319,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,1,0,4,0,0,15.894952224644102,0,1987,3,8,32,6,3,38,60,0,4,150,235,38,60,16.363114793954576,15.335128819343156,16.018651468382263,16.78560625782595,10763190.963224867,96385.5421686747,2.0262557149909237,2673.3075554909765,0.00037406844489179666,0.807742214532872,0.10618762255033813,1.2190992211310532,4026.170105686965,0.0006135376049980136,0.00668058771423679,125.00823984354506,48.50807356249356,0.0,3004.116603597358,3.281111111111111,4.004662867095566,0.9279999999999999,5.1,8.0,tt0093743,Pinocchio and the Emperor of the Night
6,6,14000000,10,7.2864770000000005,92.0,1,0,2,791,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,11,0,5,1,0,2,1,1,0,1,1,1,4,1,2,1,8,8,4,11,4,12,11,4,9,2,4,0,16.454567959008102,1,2012,3,8,35,30,3,14,21,36,58,208,326,14,21,16.3986312901815,16.176764651663117,16.19076402220152,16.68775287545706,1921367.486646839,152173.91304347827,3.458374998517839,276.12795593810284,0.0036215094433399604,0.8683832968360643,0.889825640185976,0.5051059083901779,6958.2504970178925,0.0002510466741501878,0.054077727376539125,122.2760758600486,75.63315757628145,0.18232019263426733,888.9381967400701,21.777611026285715,1.4718876383819564,9.437999999999999,5.9,846.0,tt0431021,The Possession
7,7,0,10,1.9490439999999998,84.0,1,0,1,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,2004,3,1,3,15,1,12,19,37,50,501,742,12,19,15.83434355459813,15.505531512099513,16.263913451861868,15.727786589896073,0.0,0.0,0.0,1028.1963875623128,0.0009725768463073851,0.7991746905089409,0.23250860562234957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2752.5862893845547,0.0,0.0,2.841,7.5,26.0,tt0391024,Control Room
8,8,0,10,6.902423,100.0,631,1,5,36,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,2,0,1,1,1,0,0,0,0.0,0,1996,4,2,7,16,1,22,32,27,43,397,623,22,32,16.15074079470187,15.914380693419636,17.05954936758698,16.112857283468912,0.0,0.0,0.0,289.1738162091776,0.003458127755511022,0.9528851244044468,0.8775829069226648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.021765255476225,0.0,2.437078481083854,7.5489999999999995,6.4,152.0,tt0117110,Muppet Treasure Island
9,9,6000000,10,4.672036,91.0,1,0,2,581,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1,0,1,0,1,0,1,0,1,1,1,2,1,0,0,2,0,3,0,2,1,1,1,1,0,0,0,15.607270193858982,0,2003,2,4,16,16,2,13,23,40,62,280,431,13,23,15.01331165790537,15.997005501601134,15.72969380849305,15.201021993648364,1284236.6796831188,65934.06593406593,1.4955101047879005,428.7210115675478,0.0023325192211682477,0.8464052287581699,0.5268753923117182,0.19460779494509758,2995.5067398901647,9.71581602322005e-05,0.03375833094239816,128.337625678328,32.9176564823095,0.32036351891744386,1102.7275300347671,20.55416126126126,3.9324234521232624,5.76,6.9,107.0,tt0310281,A Mighty Wind
